TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:2129415	AT4G17750	AT4G17750.1	protein_coding	native protein is a trimer, interacts with HSP70, also with TBP, DNA interaction is modulated by phosphorylation  and is heat-shock inducible	ARABIDOPSIS THALIANA CLASS A HEAT SHOCK FACTOR 1A; ARABIDOPSIS THALIANA HEAT SHOCK FACTOR 1; ATHSF1; ATHSFA1A; CLASS A HEAT SHOCK FACTOR 1A; HEAT SHOCK FACTOR 1; HSF1; HSFA1A	 nucleus, DNA binding, DNA-binding transcription factor activity, M germinated pollen stage, RNA polymerase II cis-regulatory region sequence-specific DNA binding, carpel, cellular response to heat, collective leaf structure, flower, flowering stage, guard cell, host cell nucleus, mature plant embryo stage, nucleus, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant sperm cell, pollen, positive regulation of transcription from RNA polymerase II promoter in response to heat stress, protein binding, regulation of transcription from RNA polymerase II promoter in response to stress, response to heat, root, seed, sepal, sequence-specific DNA binding, stem	true
Gene:2160916	AT5G47910	AT5G47910.1	protein_coding	NADPH/respiratory burst oxidase protein D (RbohD).Interacts with AtrbohF gene to fine tune the spatial control of ROI production and hypersensitive response to cell in and around infection site. The mRNA is cell-to-cell mobile.	ATRBOHD; DELT1; RBOHD; RESPIRATORY BURST OXIDASE HOMOLOGUE D	 Golgi apparatus, nucleus, plasma membrane, plant callus, cultured plant cell, Golgi apparatus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NAD(P)H oxidase (H(2)O(2)-forming activity, calcium ion binding, carbohydrate homeostasis, carpel, cauline leaf, cell-to-cell mobile RNA, cellular response to hypoxia, collective leaf structure, cotyledon, cultured plant cell, defense response, defense response to fungus, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, negative regulation of programmed cell death, nucleus, osmosensory signaling pathway, oxidation-reduction process, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plastid, pollen, protein binding, reactive oxygen species metabolic process, response to heat, response to wounding, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:3435246	AT1G48050	AT1G48050.1	protein_coding	Ku80 and ku70 form the heterodimer complex Ku, required for proper maintenance of  the telomeric C strand. Ku regulates the extension of the telomeric G strand. Interacts with WEX, and this interaction stimulates the WEX exonuclease activity. Binds double stranded DNA breaks as a heterodimer with Ku70, involved in non-homologous end joining repair. Mutants are defective in T-DNA integration. Over expression confers increased resistance to DNA damage agents and increased susceptibility to T-DNA transformation.	ARABIDOPSIS THALIANA KU80 HOMOLOG; ATKU80; KU80	 nucleus, DNA helicase activity, DNA integration, DNA repair, Ku70:Ku80 complex, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cellular response to X-ray, cellular response to gamma radiation, collective leaf structure, cotyledon, damaged DNA binding, double-strand break repair, double-strand break repair via nonhomologous end joining, double-stranded DNA binding, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nuclear chromosome, telomeric region, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein binding, response to heat, root, seed, sepal, shoot apex, shoot system, stamen, stem, telomere maintenance, telomeric DNA binding, vascular leaf, vascular leaf senescent stage	true
Gene:3435490	AT1G53540	AT1G53540.1	protein_coding	Member of the class I small heat-shock protein (sHSP) family, which accounts for the majority of sHSPs in maturing seeds	HSP17.6C	 cytoplasm, M germinated pollen stage, carpel, cytoplasm, flower, flower pedicel, flowering stage, guard cell, petal differentiation and expansion stage, plant embryo, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, protein complex oligomerization, protein folding, protein self-association, response to heat, response to hydrogen peroxide, response to reactive oxygen species, response to salt stress, root, stamen, unfolded protein binding	true
Gene:3694263	AT2G27580	AT2G27580.1	protein_coding	Regulated by heat shock.	SAP3; STRESS ASSOCIATED PROTEIN3	 nucleus, DNA binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, response to heat, root, seed, sepal, shoot apex, stamen, stem, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:3687845	AT1G50500	AT1G50500.1	protein_coding	encodes a member of VPS53 family protein involved in the retrograde trafficking of vesicles to the late Golgi. Mutants in this gene are more sensitive to heat and osmotic stress.	ARABIDOPSIS THALIANA VPS53 HOMOLOG; ATVPS53; HEAT-INTOLERANT 1; HIT1; VPS53	 cytosol, plasma membrane, GARP complex, Golgi apparatus, Golgi membrane, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NOT cytosol, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, fruit, guard cell, heat acclimation, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plasma membrane organization, pollen, protein binding, response to heat, response to osmotic stress, retrograde transport, endosome to Golgi, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1005714946	AT2G04030	AT2G04030.2	protein_coding	Encodes a chloroplast-targeted 90-kDa heat shock protein located in the stroma involved in red-light mediated deetiolation response and crucial for protein import into the chloroplast stroma. Mutants are resistant to chlorate, have elongated hypocotyls in light, and affect the expression of NR2, CAB, and RBCS but NOT NR1 and NiR.	ATHSP90.5; ATHSP90C; CR88; EMB1956; EMBRYO DEFECTIVE 1956; HEAT SHOCK PROTEIN 88.1; HEAT SHOCK PROTEIN 90.5; HSP88.1; HSP90.5; HSP90C	 chloroplast, cytosol, mitochondrion, vacuolar membrane, ATP binding, chloroplast envelope, seed, vascular leaf, cultured plant cell, seedling development stage, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT cytosol, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast stroma, collective leaf structure, cotyledon, cultured plant cell, de-etiolation, embryo development ending in seed dormancy, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, protein binding, protein folding, protein homodimerization activity, protein import into chloroplast stroma, response to chlorate, response to heat, response to salt stress, response to water deprivation, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vacuolar membrane, vascular leaf, vascular leaf senescent stage	true
Gene:6030025595	SCAFFOLD_203069.1	SCAFFOLD_203069.1.1	protein_coding			 ATP binding, response to heat, protein folding, unfolded protein binding, heat shock protein binding, ATP binding, heat shock protein binding, protein folding, response to heat, unfolded protein binding	false
Gene:2103084	AT3G04120	AT3G04120.1	protein_coding	encodes cytosolic GADPH (C subunit) involved in the glycolytic pathway but also interacts with H2O2 potentially placing it in a signalling cascade induced by ROS. The mRNA is cell-to-cell mobile.	GAPC; GAPC-1; GAPC1; GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE C SUBUNIT; GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE C SUBUNIT 1	 Golgi apparatus, chloroplast, cytoplasm, cytosol, nucleus, plasma membrane, vacuolar membrane, response to cadmium ion, apoplast, fruit, seed, cotyledon, root, vascular leaf, juvenile vascular leaf, cultured plant cell, seedling development stage, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NAD binding, NADP binding, NOT Golgi apparatus, apoplast, carpel, cauline leaf, cell-to-cell mobile RNA, chloroplast, collective leaf structure, copper ion binding, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, fruit, fruit abscission zone, fruit development, gluconeogenesis, glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity, glyceraldehyde-3-phosphate dehydrogenase (NADP+) (non-phosphorylating) activity, glycolytic process, guard cell, hypocotyl, inflorescence meristem, juvenile vascular leaf, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrial envelope, mitochondrion, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, pollen tube cell, protein binding, response to cadmium ion, response to heat, response to hydrogen peroxide, response to oxidative stress, response to redox state, response to sucrose, root, root system, rosette leaf, seed, seed development, seedling cotyledon, seedling development stage, seedling radicle, sepal, shoot apex, shoot system, stamen, stem, vacuolar membrane, vascular bundle, vascular leaf, vascular leaf senescent stage	true
Gene:2141195	AT4G21320	AT4G21320.1	protein_coding	Encodes heat-stress-associated 32-kD protein. Up-regulated by heat shock. Thermotolerance in a knockout mutant was compromised following a long recovery period (> 24 h) after acclimation heat shock treatment.	HEAT-STRESS-ASSOCIATED 32; HSA32	 nucleus, M germinated pollen stage, catalytic activity, guard cell, heat acclimation, nucleus, pollen, pollen tube cell, posttranscriptional regulation of gene expression, response to heat, seed	true
Gene:4010712525	AT3G09350	AT3G09350.2	protein_coding	Encodes one of the Arabidopsis orthologs of the human Hsp70-binding protein 1 (HspBP-1) and yeast Fes1p: Fes1A (AT3G09350), Fes1B (AT3G53800), Fes1C (AT5G02150). Fes1A is cytosolic and associates with cytosolic Hsp70.  Mutants showed increased heat-sensitive phenotype suggestion the involvement of Fes1A in acquired thermotolerance.  Does not have nucleotide exchange factor activity in vitro.	FES1A	 cytoplasm, Hsp70 protein binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, adenyl-nucleotide exchange factor activity, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, cytosol, endoplasmic reticulum, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, response to heat, response to salt stress, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:4010713123	AT5G14800	AT5G14800.2	protein_coding	Delta 1-pyrroline-5-carboxylate reductase, catalyzes the final step in proline biosynthesis from glutamate and ornithine.In situ hybridization indicated that under normal growth conditions, the highest concentration of P5CR transcripts occurs in the cortical parenchyma, phloem, vascular cambium and pith parenchyma in the vicinity of the protoxylem. Single gene in Arabidopsis.	AT-P5C1; AT-P5R; EMB2772; EMBRYO DEFECTIVE 2772; P5CR; PYRROLINE-5- CARBOXYLATE (P5C) REDUCTASE	 cytoplasm, L mature pollen stage, L-proline biosynthetic process, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cell wall, collective leaf structure, cotyledon, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, oxidation-reduction process, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, proline biosynthetic process, pyrroline-5-carboxylate reductase activity, response to heat, response to salt stress, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2049650	AT2G04030	AT2G04030.1	protein_coding	Encodes a chloroplast-targeted 90-kDa heat shock protein located in the stroma involved in red-light mediated deetiolation response and crucial for protein import into the chloroplast stroma. Mutants are resistant to chlorate, have elongated hypocotyls in light, and affect the expression of NR2, CAB, and RBCS but NOT NR1 and NiR.	ATHSP90.5; ATHSP90C; CR88; EMB1956; EMBRYO DEFECTIVE 1956; HEAT SHOCK PROTEIN 88.1; HEAT SHOCK PROTEIN 90.5; HSP88.1; HSP90.5; HSP90C	 chloroplast, chloroplast stroma, cytosol, mitochondrion, vacuolar membrane, ATP binding, chloroplast envelope, seed, vascular leaf, cultured plant cell, seedling development stage, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT cytosol, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast stroma, collective leaf structure, cotyledon, cultured plant cell, de-etiolation, embryo development ending in seed dormancy, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, protein binding, protein folding, protein homodimerization activity, protein import into chloroplast stroma, response to chlorate, response to heat, response to salt stress, response to water deprivation, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vacuolar membrane, vascular leaf, vascular leaf senescent stage	true
Gene:2182782	AT5G28540	AT5G28540.1	protein_coding	Encodes the luminal binding protein BiP, an ER-localized member of the HSP70 family.  BiP is composed of an N-terminal ATP binding domain and a C-terminal domain that binds to hydrophobic patches on improperly/incompletely folded proteins in an ATP-dependent manner. Involved in polar nuclei fusion during proliferation of endosperm nuclei.	BIP1	 Golgi apparatus, cell wall, chloroplast, cytosol, plasma membrane, plasmodesma, vacuolar membrane, vacuole, fruit, vascular leaf, juvenile vascular leaf, cultured plant cell, seedling development stage, ATP binding, ATPase activity, Golgi apparatus, L mature pollen stage, M germinated pollen stage, cell wall, cellular response to unfolded protein, chaperone cofactor-dependent protein refolding, chloroplast, cultured plant cell, cytoplasm, cytosol, endoplasmic reticulum, endoplasmic reticulum chaperone complex, endoplasmic reticulum lumen, endoplasmic reticulum unfolded protein response, fruit, guard cell, heat shock protein binding, juvenile vascular leaf, mediator complex, membrane, misfolded protein binding, nucleus, plasma membrane, plasmodesma, polar nucleus fusion, pollen, pollen tube cell, protein folding, protein folding chaperone, protein refolding, response to heat, response to unfolded protein, rosette leaf, secretory vesicle, seedling development stage, ubiquitin-dependent ERAD pathway, unfolded protein binding, vacuolar membrane, vacuole, vascular bundle, vascular leaf	true
Gene:1009022034	AT4G23100	AT4G23100.2	protein_coding	Encodes the enzyme glutamate-cysteine ligase catalyzing the first, and rate-limiting, step of glutathione biosynthesis.  Required for cell proliferation at the root tip. Involved in susceptibility to the bacterial pathogen Pseudomonas syringae. Mutants are phytoalexin defective.	ATECS1; ATGSH1; CAD2; CADMIUM SENSITIVE 2; CINNAMYL ALCOHOL DEHYDROGENASE HOMOLOG 2; GLUTAMATE-CYSTEINE LIGASE; GSH1; GSHA; PAD2; PHYTOALEXIN DEFICIENT 2; PROTEASOME ALPHA SUBUNIT D2; RAX1; REGULATOR OF AXILLARY MERISTEMS 1; RML1; ROOT MERISTEMLESS 1	 chloroplast, response to cadmium ion, cotyledon, vascular leaf, cultured plant cell, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, chloroplast stroma, collective leaf structure, cotyledon, cultured plant cell, cytosol, defense response by callose deposition in cell wall, defense response to bacterium, defense response to bacterium, incompatible interaction, defense response to fungus, defense response to insect, flower, flower development, flower pedicel, flowering stage, glucosinolate biosynthetic process, glutamate-cysteine ligase activity, glutathione biosynthetic process, guard cell, hypocotyl, indole phytoalexin biosynthetic process, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, response to cadmium ion, response to heat, response to jasmonic acid, response to ozone, root, rosette leaf, seed, seed development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6530296991	AT3G09440	AT3G09440.2	protein_coding	Heat shock protein 70 (Hsp 70) family protein;(source:Araport11)		 Golgi apparatus, chloroplast, ATP binding, ATPase activity, Golgi apparatus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, apoplast, carpel, cauline leaf, cell wall, cellular response to unfolded protein, chaperone cofactor-dependent protein refolding, chloroplast, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, cytosolic ribosome, flower, flower pedicel, flowering stage, guard cell, heat shock protein binding, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, misfolded protein binding, nuclear matrix, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plasmodesma, pollen, pollen tube cell, protease binding, protein binding, protein folding, protein folding chaperone, protein refolding, response to cadmium ion, response to heat, response to karrikin, response to unfolded protein, response to virus, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vacuolar membrane, vacuole, vascular leaf, vascular leaf senescent stage	true
Gene:2120864	AT4G26080	AT4G26080.1	protein_coding	Involved in abscisic acid (ABA) signal transduction. Negative regulator of ABA promotion of stomatal closure.	ABA INSENSITIVE 1; ABI1; ATABI1	 cytoplasm, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, calcium ion binding, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, kinase binding, leaf apex, leaf lamina base, magnesium-dependent protein serine/threonine phosphatase activity, mature plant embryo stage, negative regulation of abscisic acid-activated signaling pathway, nucleus, petal, petal differentiation and expansion stage, petiole, phosphatase activity, phosphoprotein phosphatase activity, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, pollen tube cell, protein binding, protein dephosphorylation, protein kinase binding, protein serine/threonine phosphatase activity, protein serine/threonine phosphatase complex, regulation of abscisic acid-activated signaling pathway, regulation of stomatal movement, response to abscisic acid, response to cold, response to heat, root, root tip, seed, seed germination stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2144800	AT5G09590	AT5G09590.1	protein_coding	heat shock protein 70 (Hsc70-5); nuclear	HEAT SHOCK COGNATE; HSC70-5; MITOCHONDRIAL HSO70 2; MTHSC70-2	 Golgi apparatus, cell wall, mitochondrion, vacuolar membrane, ATP binding, response to cadmium ion, fruit, seed, root, vascular leaf, cultured plant cell, seedling development stage, pollen, ATP binding, ATPase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NOT Golgi apparatus, carpel, cauline leaf, cell wall, cellular response to unfolded protein, chaperone cofactor-dependent protein refolding, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, fruit, guard cell, heat shock protein binding, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, misfolded protein binding, mitochondrial matrix, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, pollen tube cell, protein folding, protein folding chaperone, protein refolding, response to cadmium ion, response to heat, response to unfolded protein, response to virus, root, rosette leaf, seed, seed development stage, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vacuolar membrane, vascular leaf, vascular leaf senescent stage	true
Gene:2198687	AT1G05850	AT1G05850.1	protein_coding	Encodes an endo chitinase-like protein AtCTL1.  Essential for tolerance to heat, salt and drought stresses.  Also involved in root hair development, cell expansion and response to cytokinin.  Allelic  to erh2. 11 alleles described in Hauser (1995). Mutant is defective in acquired thermotolerance, appears semidwarf throughout its life cycle and has extra lateral branches. There are two EMS alleles. Expression of AtHSP101 is not affected in the mutants.	ATCTL1; CHITINASE-LIKE PROTEIN 1; CTL1; ECTOPIC DEPOSITION OF LIGNIN IN PITH; ECTOPIC DEPOSITION OF LIGNIN IN PITH 1; ECTOPIC ROOT HAIR 2; ELP; ELP1; ERH2; HOT2; POM-POM1; POM1; SENSITIVE TO HOT TEMPERATURES 2	 extracellular region, Golgi apparatus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT chitinase activity, anther, apoplast, carpel, cauline leaf, cell wall macromolecule catabolic process, cellulose biosynthetic process, chitin catabolic process, collective leaf structure, cotyledon, extracellular region, filament, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, lignin biosynthetic process, mature plant embryo stage, multidimensional cell growth, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, polysaccharide binding, regulation of carbohydrate biosynthetic process, regulation of salicylic acid metabolic process, response to cytokinin, response to heat, response to nitrate, response to salt stress, response to water deprivation, root, root epidermal cell differentiation, seed, sepal, shoot apex, shoot system, stamen, stem, stigma, vascular leaf, vascular leaf senescent stage	true
Gene:1005714057	AT4G15802	AT4G15802.1	protein_coding	Encodes a protein with similarity to heat shock factor binding proteins. Involved in negative regulation of heat shock response. Becomes nuclear localized upon heat treatment.	ARABIDOPSIS THALIANA HEAT SHOCK FACTOR BINDING PROTEIN; ATHSBP; HEAT SHOCK FACTOR BINDING PROTEIN; HSBP	 Golgi apparatus, cytosol, nucleus, Golgi apparatus, cellular heat acclimation, cytoplasm, cytosol, guard cell, heat shock protein binding, nucleus, protein binding, protein self-association, response to heat, rosette leaf, seed development, transcription corepressor activity	true
Gene:2200461	AT1G16030	AT1G16030.1	protein_coding	heat shock protein 70B;(source:Araport11)	HEAT SHOCK PROTEIN 70B; HSP70B	 cell wall, chloroplast, plasma membrane, seed, vascular leaf, ATP binding, ATPase activity, LP.04 four leaves visible stage, LP.06 six leaves visible stage, M germinated pollen stage, carpel, cell wall, cellular response to unfolded protein, chaperone cofactor-dependent protein refolding, chloroplast, collective leaf structure, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, heat shock protein binding, hypocotyl, inflorescence meristem, mature plant embryo stage, misfolded protein binding, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, pollen tube cell, protein folding, protein folding chaperone, protein refolding, response to heat, response to unfolded protein, response to virus, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vascular leaf, vascular leaf senescent stage	true
Gene:3443246	AT5G10230	AT5G10230.1	protein_coding	Encodes a calcium-binding protein annexin (AnnAt7).	ANN7; ANNAT7; ANNEXIN 7	 calcium ion binding, cytoplasm, cytosol, flower, response to cold, response to heat, response to salt stress, response to water deprivation, root, vascular leaf	true
Gene:4515101509	AT3G25230	AT3G25230.2	protein_coding	Encodes a a high molecular weight member of the FK506 binding protein (FKBP) family.  It has three FKBP12-like domains, tetratricopeptide repeats, and a putative calmodulin binding domain. Modulates thermotolerance by interacting with HSP90.1 and affecting the accumulation of HsfA2-regulated sHSPs. Belongs to one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones.	ATFKBP62; FK506 BINDING PROTEIN 62; FKBP62; ROF1; ROTAMASE FKBP 1	 cytosol, nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cell periphery, cellular heat acclimation, chaperone-mediated protein folding, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, peptidyl-prolyl cis-trans isomerase activity, petal, petal differentiation and expansion stage, petiole, phosphatidylinositol-3,5-bisphosphate binding, phosphatidylinositol-3-phosphate binding, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, protein binding, protein peptidyl-prolyl isomerization, response to cadmium ion, response to heat, response to osmotic stress, response to wounding, root, rosette leaf, seed, seed development stage, seed germination, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532561759	AT2G26150	AT2G26150.4	protein_coding	member of Heat Stress Transcription Factor (Hsf) family. Involved in response to misfolded protein accumulation in the cytosol. Regulated by alternative splicing and non-sense-mediated decay.		 nucleus, DNA-binding transcription factor activity, RNA polymerase II cis-regulatory region sequence-specific DNA binding, carpel, cellular response to heat, cellular response to hypoxia, cellular response to unfolded protein, flower, flower pedicel, flowering stage, guard cell, heat acclimation, host cell nucleus, nucleus, petal differentiation and expansion stage, plant embryo, plant embryo globular stage, plant sperm cell, pollen, positive regulation of transcription from RNA polymerase II promoter in response to heat stress, positive regulation of transcription, DNA-templated, protein binding, regulation of transcription from RNA polymerase II promoter in response to stress, regulation of transcription, DNA-templated, response to chitin, response to heat, response to hydrogen peroxide, response to hypoxia, root, sequence-specific DNA binding, stamen, transcription regulatory region DNA binding, transcription regulatory region sequence-specific DNA binding	true
